subject,condition,phase,feature_type,body_part,channel,type,metric,axis,data
VP_01,ftsst,talk,expert,UpperExtremities,vel,static_periods,ratio_percent,norm,11.35636909060601
VP_01,ftsst,talk,expert,UpperExtremities,vel,static_periods,std_duration_sec,norm,0.8263787867708151
VP_01,ftsst,talk,generic,CenterMass,vel,cov,cov,norm,0.8605973949214034
VP_01,ftsst,talk,generic,CenterMass,vel,cov,cov,x,-156.9727626194799
VP_01,ftsst,talk,generic,CenterMass,vel,cov,cov,y,-236.03590305196562
VP_01,ftsst,talk,generic,CenterMass,vel,cov,cov,z,4946.30558880613
VP_01,ftsst,talk,generic,CenterMass,vel,mean,mean,norm,0.01913696050497661
VP_01,ftsst,talk,generic,CenterMass,vel,mean,mean,x,-0.0001020777179045608
VP_01,ftsst,talk,generic,CenterMass,vel,mean,mean,y,-7.839936670184995e-05
VP_01,ftsst,talk,generic,CenterMass,vel,mean,mean,z,1.2504305316371306e-06
VP_01,ftsst,talk,generic,CenterMass,vel,std,std,norm,0.016469218357296655
VP_01,ftsst,talk,generic,CenterMass,vel,std,std,x,0.016023421381370855
VP_01,ftsst,talk,generic,CenterMass,vel,std,std,y,0.018505065318173357
VP_01,ftsst,talk,generic,CenterMass,vel,std,std,z,0.006185011527050559
VP_01,ftsst,talk,generic,Head,acc,abs_energy,abs_energy,norm,12996.265067048766
VP_01,ftsst,talk,generic,Head,acc,abs_max,abs_max,x,2.931199
VP_01,ftsst,talk,generic,Head,acc,abs_max,abs_max,y,7.055633
VP_01,ftsst,talk,generic,Head,acc,abs_max,abs_max,z,5.537742
VP_01,ftsst,talk,generic,Head,acc,cov,cov,norm,1.0299027848498499
VP_01,ftsst,talk,generic,Head,acc,cov,cov,x,-22.337222476473407
VP_01,ftsst,talk,generic,Head,acc,cov,cov,y,-76.61056384647846
VP_01,ftsst,talk,generic,Head,acc,cov,cov,z,-419.31762884306517
VP_01,ftsst,talk,generic,Head,acc,entropy,entropy,norm,9.41787046214523
VP_01,ftsst,talk,generic,Head,acc,entropy,entropy,x,9.791676734469632
VP_01,ftsst,talk,generic,Head,acc,entropy,entropy,y,9.794989717222602
VP_01,ftsst,talk,generic,Head,acc,entropy,entropy,z,9.791423217502786
VP_01,ftsst,talk,generic,Head,acc,fft_aggregated_centroid,fft_aggregated_centroid,norm,2014.8638559344759
VP_01,ftsst,talk,generic,Head,acc,fft_aggregated_kurtosis,fft_aggregated_kurtosis,norm,6.4414567223953565
VP_01,ftsst,talk,generic,Head,acc,fft_aggregated_skew,fft_aggregated_skew,norm,1.2833813293754364
VP_01,ftsst,talk,generic,Head,acc,fft_aggregated_variance,fft_aggregated_variance,norm,4473207.027255755
VP_01,ftsst,talk,generic,Head,acc,max_val,max_val,norm,7.4668240127763825
VP_01,ftsst,talk,generic,Head,acc,mean,mean,norm,0.5919071764006926
VP_01,ftsst,talk,generic,Head,acc,mean,mean,x,-0.014203609243930892
VP_01,ftsst,talk,generic,Head,acc,mean,mean,y,-0.0061541977667907335
VP_01,ftsst,talk,generic,Head,acc,mean,mean,z,-0.0015060004999722248
VP_01,ftsst,talk,generic,Head,acc,mean_crossing,mean_crossing,norm,1966.0
VP_01,ftsst,talk,generic,Head,acc,std,std,norm,0.6096068493476846
VP_01,ftsst,talk,generic,Head,acc,std,std,x,0.31726917965057855
VP_01,ftsst,talk,generic,Head,acc,std,std,y,0.4714765609365766
VP_01,ftsst,talk,generic,Head,acc,std,std,z,0.6314925586848239
VP_01,ftsst,talk,generic,Head,gyr,abs_energy,abs_energy,norm,14653720.510729993
VP_01,ftsst,talk,generic,Head,gyr,abs_max,abs_max,x,143.29966786478
VP_01,ftsst,talk,generic,Head,gyr,abs_max,abs_max,y,147.13865701212
VP_01,ftsst,talk,generic,Head,gyr,abs_max,abs_max,z,201.29881086006
VP_01,ftsst,talk,generic,Head,gyr,cov,cov,norm,0.9932495832696018
VP_01,ftsst,talk,generic,Head,gyr,cov,cov,x,-164.84584036309752
VP_01,ftsst,talk,generic,Head,gyr,cov,cov,y,130.64364286905123
VP_01,ftsst,talk,generic,Head,gyr,cov,cov,z,1014.494514936707
VP_01,ftsst,talk,generic,Head,gyr,entropy,entropy,norm,9.416542223002793
VP_01,ftsst,talk,generic,Head,gyr,entropy,entropy,x,9.787933055804707
VP_01,ftsst,talk,generic,Head,gyr,entropy,entropy,y,9.790222154955318
VP_01,ftsst,talk,generic,Head,gyr,entropy,entropy,z,9.796152341083141
VP_01,ftsst,talk,generic,Head,gyr,fft_aggregated_centroid,fft_aggregated_centroid,norm,1076.9095574224111
VP_01,ftsst,talk,generic,Head,gyr,fft_aggregated_kurtosis,fft_aggregated_kurtosis,norm,11.93791983347281
VP_01,ftsst,talk,generic,Head,gyr,fft_aggregated_skew,fft_aggregated_skew,norm,2.3929382083202535
VP_01,ftsst,talk,generic,Head,gyr,fft_aggregated_variance,fft_aggregated_variance,norm,1679020.8192049493
VP_01,ftsst,talk,generic,Head,gyr,max_val,max_val,norm,223.40337393886014
VP_01,ftsst,talk,generic,Head,gyr,mean,mean,norm,20.24307393926258
VP_01,ftsst,talk,generic,Head,gyr,mean,mean,x,-0.10914709224351424
VP_01,ftsst,talk,generic,Head,gyr,mean,mean,y,0.1405221416936448
